loc_rowid,pl_name,hostname,pl_orbsmax,pl_eqt,st_teff,st_rad
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0,1800.0,3993.0,1.31316
32,1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0,1800.0,4060.0,1.352
37,2M0437 b,2MASS J04372171+2651014,118.0,1450.0,3100.0,0.84
48,2MASS J12073346-3932539 b,2MASS J12073346-3932539,46.0,1150.0,2825.0,0.21887
137,55 Cnc e,55 Cnc,0.01544,1958.0,5234.0,0.943
186,AF Lep b,AF Lep,7.99,1400.0,6100.0,1.25
189,AU Mic b,AU Mic,0.07,554.8,3540.0,0.862
194,AU Mic b,AU Mic,0.0645,593.0,3700.0,0.75
200,AU Mic b,AU Mic,0.0649,600.0,3678.0,0.744
205,AU Mic c,AU Mic,0.1108,459.0,3678.0,0.744
206,AU Mic c,AU Mic,0.119,424.7,3540.0,0.862
207,AU Mic c,AU Mic,0.1101,454.0,3700.0,0.75
216,BD+05 4868 A b,BD+05 4868 A,0.0208,1820.0,4596.0,0.69
225,BD+20 594 b,BD+20 594,0.241,546.0,5766.0,0.928
235,BD+60 1417 b,BD+60 1417,1662.0,1303.0,4993.0,0.797
254,BD-14 3065 b,BD-14 3065 A,0.0656,2001.0,6935.0,2.35
266,Barnard b,Barnard's star,0.0229,438.0,3195.0,0.185
267,Barnard b,Barnard's star,0.02294,400.0,3195.0,0.185
268,Barnard c,Barnard's star,0.0274,400.0,3195.0,0.185
269,Barnard d,Barnard's star,0.0188,483.0,3195.0,0.185
270,Barnard e,Barnard's star,0.0381,340.0,3195.0,0.185
271,CD Cet b,CD Cet,0.0185,464.0,3130.0,0.175
275,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,200.0,1800.0,2320.0,0.245
278,COCONUTS-2 b,COCONUTS-2 A,7506.0,434.0,3406.0,0.388
284,CoRoT-1 b,CoRoT-1,0.02536,1915.0,5950.0,1.131
291,CoRoT-10 b,CoRoT-10,0.106,647.0,5075.0,0.743
292,CoRoT-10 b,CoRoT-10,0.1055,600.0,5075.0,0.79
293,CoRoT-11 b,CoRoT-11,0.044,1735.0,6440.0,1.374
299,CoRoT-11 b,CoRoT-11,0.0436,1657.0,6440.0,1.37
303,CoRoT-12 b,CoRoT-12,0.04016,1442.0,5675.0,1.116
304,CoRoT-12 b,CoRoT-12,0.0394,1410.0,5675.0,1.046
306,CoRoT-13 b,CoRoT-13,0.051,1432.0,5945.0,1.274
309,CoRoT-13 b,CoRoT-13,0.051,1700.0,5945.0,1.01
312,CoRoT-14 b,CoRoT-14,0.027,1952.0,6035.0,1.21
313,CoRoT-14 b,CoRoT-14,0.02687,1936.0,6035.0,1.19
316,CoRoT-17 b,CoRoT-17,0.0481,1610.0,5740.0,1.62
318,CoRoT-17 b,CoRoT-17,0.0461,1626.0,5740.0,1.59
319,CoRoT-18 b,CoRoT-18,0.0295,1550.0,5440.0,1.0
322,CoRoT-18 b,CoRoT-18,0.0286,1490.0,5440.0,0.924
327,CoRoT-19 b,CoRoT-19,0.0518,2000.0,6090.0,1.65
330,CoRoT-19 b,CoRoT-19,0.0512,1630.0,6090.0,1.576
332,CoRoT-2 b,CoRoT-2,0.02835,1521.0,5598.0,0.901
341,CoRoT-2 b,CoRoT-2,0.02854,1548.0,5696.0,0.907
345,CoRoT-20 b,CoRoT-20,0.0902,1002.0,5880.0,1.02
348,CoRoT-20 b,CoRoT-20,0.0892,1100.0,5880.0,1.34
353,CoRoT-22 b,CoRoT-22,0.092,885.0,5939.0,1.136
