# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 25 22:04:03 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
#
loc_rowid,pl_name,hostname,pl_orbsmax,pl_eqt,st_teff,st_rad
1,11 Com b,11 Com,1.1780000000,,4874.00,13.760000
2,11 Com b,11 Com,1.2900000000,,4742.00,19.000000
3,11 Com b,11 Com,1.2100000000,,,
4,11 UMi b,11 UMi,1.5100000000,,,
5,11 UMi b,11 UMi,1.5300000000,,4213.00,29.790000
6,11 UMi b,11 UMi,1.5400000000,,4340.00,24.080000
7,14 And b,14 And,0.7750000000,,4888.00,11.550000
8,14 And b,14 And,0.8300000000,,4813.00,11.000000
9,14 And b,14 And,0.6800000000,,,
10,14 Her b,14 Her,2.7740000000,,,
11,14 Her b,14 Her,2.9300000000,,5338.00,0.930000
12,14 Her b,14 Her,2.8640000000,,5280.00,1.002350
13,14 Her b,14 Her,2.8300000000,,5314.94,0.995819
14,14 Her b,14 Her,2.7300000000,,,
15,14 Her b,14 Her,2.8200000000,,,
16,14 Her b,14 Her,2.7700000000,,,
17,14 Her b,14 Her,2.8000000000,,5255.00,
18,14 Her b,14 Her,2.8390000000,,,
19,16 Cyg B b,16 Cyg B,1.6800000000,,5747.00,1.128270
20,16 Cyg B b,16 Cyg B,1.6000000000,,5760.00,
21,16 Cyg B b,16 Cyg B,1.6600000000,,5750.00,1.130000
22,16 Cyg B b,16 Cyg B,1.6810000000,,5674.00,
23,16 Cyg B b,16 Cyg B,1.6760000000,,5711.97,1.159464
24,16 Cyg B b,16 Cyg B,1.6800000000,,,
25,17 Sco b,17 Sco,1.4500000000,,4157.00,25.920000
26,18 Del b,18 Del,2.4760000000,,4980.00,8.800000
27,18 Del b,18 Del,2.5400000000,,,
28,18 Del b,18 Del,2.6000000000,,4979.00,8.500000
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0000000000,1700.00,4060.00,
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0000000000,1800.00,3993.00,1.313160
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,330.0000000000,1700.00,4060.00,
